alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,x
------,--------,---------,---------,--------,--------,--------,--------
7.9,1.2892,0.01244,0.00654,-0.0914,0.3061,1,1
8.4,1.3256,0.01363,0.00747,-0.0884,0.2489,1,0.913333333
8.9,1.3543,0.01523,0.00871,-0.0843,0.1838,1,0.826666667
10.5,1.4183,0.02125,0.01412,-0.068,0.0635,1,0.74
11.9,1.4634,0.0282,0.0212,-0.0564,0.0403,1,0.65333333
13.2,1.4922,0.03722,0.03059,-0.0489,0.0318,1,0.5666667
14.9,1.4964,0.05511,0.04904,-0.0441,0.0257,1,0.48
18.5,1.1679,0.1103,0.10621,-0.0309,0.0217,1,0.393333
21.3,0.7723,0.21337,0.21136,-0.076,0.0288,1,0.306667
23.5,0.7623,0.25086,0.24891,-0.0914,0.0211,1,0.226666667
