phi,x,r,re
31.355023916172144,0.22000000000000003,0.033,51908.942118828105
25.62951690474093,0.3066666666666667,0.046,86612.13263203685
21.848611696737134,0.3933333333333333,0.059,116953.03984061416
17.701282317629907,0.4800000000000001,0.07200000000000001,134632.52244910286
15.55246933187351,0.5666666666666667,0.08499999999999999,149366.40371493282
13.964536778766528,0.6533333333333334,0.098,157913.2149505808
12.335351034632101,0.74,0.111,153123.89737248092
10.57252210216952,0.8266666666666667,0.124,138891.01255327257
9.917256581495398,0.9133333333333334,0.137,117163.72516978056
9.266404050174348,1.0,0.15,81448.33770569015
